ref,book,chapter,verse,greek,lemma,strong_g,pos,morph,tense,voice,mood,gloss,kjv
Mat 4:2,Mat,4,2,νηστεύσας,νηστεύω,G3522,verb,V-AAP-NSM,aorist,active,participle,having fasted,"And when he had fasted forty days and forty nights, he was afterward an hungred."
Mat 6:16,Mat,6,16,νηστεύητε,νηστεύω,G3522,verb,V-PAS-2P,present,active,subjunctive,you fast,"Moreover when ye fast, be not, as the hypocrites, of a sad countenance: for they disfigure their faces, that they may appear unto men to fast. Verily I say unto you, They have their reward."
Mat 6:16,Mat,6,16,νηστεύοντες,νηστεύω,G3522,verb,V-PAP-NPM,present,active,participle,[as] fasting,"Moreover when ye fast, be not, as the hypocrites, of a sad countenance: for they disfigure their faces, that they may appear unto men to fast. Verily I say unto you, They have their reward."
Mat 6:17,Mat,6,17,νηστεύων,νηστεύω,G3522,verb,V-PAP-NSM,present,active,participle,fasting,"But thou, when thou fastest, anoint thine head, and wash thy face;"
Mat 6:18,Mat,6,18,νηστεύων,νηστεύω,G3522,verb,V-PAP-NSM,present,active,participle,[as] fasting,"That thou appear not unto men to fast, but unto thy Father which is in secret: and thy Father, which seeth in secret, shall reward thee openly."
Mat 9:14,Mat,9,14,νηστεύομεν,νηστεύω,G3522,verb,V-PAI-1P,present,active,indicative,do fast,"Then came to him the disciples of John, saying, Why do we and the Pharisees fast oft, but thy disciples fast not?"
Mat 9:14,Mat,9,14,νηστεύουσιν,νηστεύω,G3522,verb,V-PAI-3P,present,active,indicative,fast,"Then came to him the disciples of John, saying, Why do we and the Pharisees fast oft, but thy disciples fast not?"
Mat 9:15,Mat,9,15,νηστεύσουσιν,νηστεύω,G3522,verb,V-FAI-3P,future,active,indicative,they will fast,"And Jesus said unto them, Can the children of the bridechamber mourn, as long as the bridegroom is with them? but the days will come, when the bridegroom shall be taken from them, and then shall they fast."
Mat 15:32,Mat,15,32,νήστεις,νῆστις,G3523,adj,A-APM,,,,hungry,"Then Jesus called his disciples unto him, and said, I have compassion on the multitude, because they continue with me now three days, and have nothing to eat: and I will not send them away fasting, lest they faint in the way."
Mrk 2:18,Mrk,2,18,νηστεύοντες,νηστεύω,G3522,verb,V-PAP-NPM,present,active,participle,fasting,"And the disciples of John and of the Pharisees used to fast: and they come and say unto him, Why do the disciples of John and of the Pharisees fast, but thy disciples fast not?"
Mrk 2:18,Mrk,2,18,νηστεύουσιν,νηστεύω,G3522,verb,V-PAI-3P,present,active,indicative,fast,"And the disciples of John and of the Pharisees used to fast: and they come and say unto him, Why do the disciples of John and of the Pharisees fast, but thy disciples fast not?"
Mrk 2:18,Mrk,2,18,νηστεύουσιν,νηστεύω,G3522,verb,V-PAI-3P,present,active,indicative,fast,"And the disciples of John and of the Pharisees used to fast: and they come and say unto him, Why do the disciples of John and of the Pharisees fast, but thy disciples fast not?"
Mrk 2:19,Mrk,2,19,νηστεύειν,νηστεύω,G3522,verb,V-PAN,present,active,infinitive,to fast,"And Jesus said unto them, Can the children of the bridechamber fast, while the bridegroom is with them? as long as they have the bridegroom with them, they cannot fast."
Mrk 2:19,Mrk,2,19,νηστεύειν,νηστεύω,G3522,verb,V-PAN,present,active,infinitive,to fast,"And Jesus said unto them, Can the children of the bridechamber fast, while the bridegroom is with them? as long as they have the bridegroom with them, they cannot fast."
Mrk 2:20,Mrk,2,20,νηστεύσουσιν,νηστεύω,G3522,verb,V-FAI-3P,future,active,indicative,they will fast,"But the days will come, when the bridegroom shall be taken away from them, and then shall they fast in those days."
Mrk 8:3,Mrk,8,3,νήστεις,νῆστις,G3523,adj,A-APM,,,,hungry,"And if I send them away fasting to their own houses, they will faint by the way: for divers of them came from far."
Luk 2:37,Luk,2,37,νηστείαις,νηστεία,G3521,noun,N-DPF,,,,with fastings,"And she was a widow of about fourscore and four years, which departed not from the temple, but served God with fastings and prayers night and day."
Luk 5:33,Luk,5,33,νηστεύουσιν,νηστεύω,G3522,verb,V-PAI-3P,present,active,indicative,fast,"And they said unto him, Why do the disciples of John fast often, and make prayers, and likewise the disciples of the Pharisees; but thine eat and drink?"
Luk 5:34,Luk,5,34,νηστεῦσαι,νηστεύω,G3522,verb,V-AAN,aorist,active,infinitive,to fast,"And he said unto them, Can ye make the children of the bridechamber fast, while the bridegroom is with them?"
Luk 5:35,Luk,5,35,νηστεύσουσιν,νηστεύω,G3522,verb,V-FAI-3P,future,active,indicative,they will fast,"But the days will come, when the bridegroom shall be taken away from them, and then shall they fast in those days."
Luk 18:12,Luk,18,12,νηστεύω,νηστεύω,G3522,verb,V-PAI-1S,present,active,indicative,I fast,"I fast twice in the week, I give tithes of all that I possess."
Act 13:2,Act,13,2,νηστευόντων,νηστεύω,G3522,verb,V-PAP-GPM,present,active,participle,fasting,"As they ministered to the Lord, and fasted, the Holy Ghost said, Separate me Barnabas and Saul for the work whereunto I have called them."
Act 13:3,Act,13,3,νηστεύσαντες,νηστεύω,G3522,verb,V-AAP-NPM,aorist,active,participle,having fasted,"And when they had fasted and prayed, and laid their hands on them, they sent them away."
Act 14:23,Act,14,23,νηστειῶν,νηστεία,G3521,noun,N-GPF,,,,fasting,"And when they had ordained them elders in every church, and had prayed with fasting, they commended them to the Lord, on whom they believed."
Act 27:9,Act,27,9,Νηστείαν,νηστεία,G3521,noun,N-ASF,,,,Fast,"Now when much time was spent, and when sailing was now dangerous, because the fast was now already past, Paul admonished them,"
Act 27:21,Act,27,21,ἀσιτίας,ἀσιτία,G0776,noun,N-GSF,,,,time without food,"But after long abstinence Paul stood forth in the midst of them, and said, Sirs, ye should have hearkened unto me, and not have loosed from Crete, and to have gained this harm and loss."
Act 27:33,Act,27,33,ἄσιτοι,ἄσιτος,G0777,adj,A-NPM,,,,without eating,"And while the day was coming on, Paul besought them all to take meat, saying, This day is the fourteenth day that ye have tarried and continued fasting, having taken nothing."
2Co 6:5,2Co,6,5,νηστείαις,νηστεία,G3521,noun,N-DPF,,,,fastings,"In stripes, in imprisonments, in tumults, in labours, in watchings, in fastings;"
2Co 11:27,2Co,11,27,νηστείαις,νηστεία,G3521,noun,N-DPF,,,,fastings,"In weariness and painfulness, in watchings often, in hunger and thirst, in fastings often, in cold and nakedness."
